kernel|cuda_intrinsics|hip_intrinsics
FDTD-2D|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
GEMM|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
GEMVER|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
GESUMMV|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.tid.x|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
GRAMSCHM|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.sqrt.approx.f,@llvm.nvvm.sqrt.approx.ftz.f,@llvm.nvvm.sqrt.rn.f,@llvm.nvvm.sqrt.rn.ftz.f|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
JACOBI1D|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.tid.x|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
JACOBI2D|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
LU|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
MVT|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.tid.x|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
SYR2K|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
SYRK|@llvm.nvvm.read.ptx.sreg.ctaid.x,@llvm.nvvm.read.ptx.sreg.ctaid.y,@llvm.nvvm.read.ptx.sreg.ntid.x,@llvm.nvvm.read.ptx.sreg.ntid.y,@llvm.nvvm.read.ptx.sreg.tid.x,@llvm.nvvm.read.ptx.sreg.tid.y|@llvm.amdgcn.ballot.i64,@llvm.amdgcn.dispatch.ptr,@llvm.amdgcn.implicitarg.ptr,@llvm.amdgcn.mbcnt.hi,@llvm.amdgcn.mbcnt.lo,@llvm.amdgcn.readfirstlane.i32,@llvm.amdgcn.s.sendmsg,@llvm.amdgcn.s.sleep,@llvm.amdgcn.workgroup.id.x,@llvm.amdgcn.workgroup.id.y,@llvm.amdgcn.workgroup.id.z,@llvm.amdgcn.workitem.id.x,@llvm.amdgcn.workitem.id.y,@llvm.amdgcn.workitem.id.z
